"file_name","processed_text"
"""CNotes.pdf""","notes: c variables and functions c syntax vs java variables - similar java types - int, short, long, char, float, double, signed vs unsigned const - constant sizeof - determine the size in bytes of a variable or type initialized vs uninitialized variables scope - global vs local variables note: java does not have unsigned types operators - similar java ( intro.c ) arithmetic operators: +, /, -, *, % unary operators: + +, – boolean operators: = =, <, < =, >, > =, & &, ||,! bitwise operators: ~, |, &, ^ ternary operator:?: shift: < <, > > literals - similar java decimal - no modifier needed ( e.g. 134 ) binary - 0b ( e.g. 0b1010 ) hex - 0x ( e.g. 0x1b ) - case does not matter control flow - similar java if / else do / while switch / case break / return arrays there is no new operator in c arrays are declared with [ ] symbols a number in the [ ] indicates the array size arrays do not know size accessing outside array bounds can cause memory violation ( segmentation fault ) functions c does not have classes functions must be declared with return type and 0 or more parameters ( similar java ) void indicates no return type functions must be declared before they are used functions may be declared without a body ( forward declaration ) special function - program entry point - main main may be void or return an int common practice - main returns 0 on success or other value indicate an error main has 2 parameters representing the command line arguments compilation gcc -"
"""CNotes.pdf""","there is no new operator in c arrays are declared with [ ] symbols a number in the [ ] indicates the array size arrays do not know size accessing outside array bounds can cause memory violation ( segmentation fault ) functions c does not have classes functions must be declared with return type and 0 or more parameters ( similar java ) void indicates no return type functions must be declared before they are used functions may be declared without a body ( forward declaration ) special function - program entry point - main main may be void or return an int common practice - main returns 0 on success or other value indicate an error main has 2 parameters representing the command line arguments compilation gcc - the gnu compiler collection 4 phases of compilation preprocessor text replacement of preprocessor macros ( defined using # ) output of this phase is text force the compiler stop after this phase with the -e flag compiler translates text source file assembly output of this phase is assembly language force the compiler stop after this phase with the -s flag assembler translates assembly language source machine language ( binary ) output of this phase is binary object code force the compiler stop after this phase with the -c flag linker builds an executable from all object code files searches for and links together library functions ( e.g. printf ) output of this phase is a binary executable using multiple files gcc will combine multiple source files into a single executable syntax requires all files be included on the command line e.g. gcc main.c otherfile.c problem: functions must be declared before they are used functions defined in another source file must have declarations accessable all files that use them solution: header files (.h files ) define function prototypes ( not implementation ) use preprocessor # include macro include header files in source files (.c files ) including a header file using # include requires name of the file as a string ( within quotes ). for example: 1 # include "" myheader.h "" the compiler will look for header files by name in the local directory directory paths can be used inside # include statements indicate other directory locations for header files. for example: 1 # include "" mydirector / myheader.h "" note: # include preprocessor macro includes the exact content of the target file and then runs the preprocessor on that file. problem: using # include can result in infinite recursive includes solution: use “ include guards ”. in other words, # ifdef, # define, and endif note: # include statements should be reserved for declarations contained within header files doing so can cause duplication definitions for variables, functions, or types also considered bad practice in general solution: put all source files on the command gcc."
"""CNotes.pdf""","for example: 1 # include "" mydirector / myheader.h "" note: # include preprocessor macro includes the exact content of the target file and then runs the preprocessor on that file. problem: using # include can result in infinite recursive includes solution: use “ include guards ”. in other words, # ifdef, # define, and endif note: # include statements should be reserved for declarations contained within header files doing so can cause duplication definitions for variables, functions, or types also considered bad practice in general solution: put all source files on the command gcc. for example: gcc file1.c file2.c file3.c using library functions the c standard library contains hundreds of different functions using c standard library functions requires # include statements for header files these header files are included by name using braces < and >. for example: 1 # include < stdio.h > braces tell the compiler search for header files in the system stored locations rather than the current directory. list of c standard library header files: https://en.cppreference.com/w/c/header links an external site. tutorialspoint - c standard library: https://www.tutorialspoint.com/c_standard_library/index.htm links an external site. notes: c pointers and structures arrays a variable representing multiple elements of the same time ( a sequence of integers ) stored as sequence of elements in memory arrays must be declared with size - note: there is no new operator in c array values are accessed by index ( similar java ) array indices are zero based for example: 1 int myarray [ 5 ]; // declare an array of 5 integers 2 printf ( "" % d\n "", myarra [ 2 ] ); // access 3rd element in the array note: arrays are not initialized by default arrays can be declared and assigned a literal value for example: 1 int myarray [ ] = { 10, 20, 30, 40, 50 }; the compiler will automatically determine the size allocate for the array arrays can be declared as function parameters without needing specify size for example: 1 void handle_array ( int array [ ], unsigned int length ) { 2 // code handle the array 3 } arrays do not know size myarray.length does not exist compiler can determine size of an array using sizeof operator if array is declared in same scope for example: 1 int myarray [ ] = { 10, 20, 30, 40 }; 2 printf ( "" % d\n "", sizeof ( myarray ) /sizeof"
"""CNotes.pdf""","[ ] = { 10, 20, 30, 40, 50 }; the compiler will automatically determine the size allocate for the array arrays can be declared as function parameters without needing specify size for example: 1 void handle_array ( int array [ ], unsigned int length ) { 2 // code handle the array 3 } arrays do not know size myarray.length does not exist compiler can determine size of an array using sizeof operator if array is declared in same scope for example: 1 int myarray [ ] = { 10, 20, 30, 40 }; 2 printf ( "" % d\n "", sizeof ( myarray ) /sizeof ( int ) ); note: does not work if array is declared in a different scope ( e.g. when passing an array a function ) useful convention follow - always pass array size as a separate parameter functions when passing an array strings there is no string class in c strings are represented as an array of characters ( char type ) strings, like other arrays, do not know length strings are null terminated ( i.e. end in a character that contains the value zero ) string functions and formatted output ( printf ) use the null terminator determine where strings end for example: 1 char mystring [ ] = "" hello ""; // compiler allocates 6 bytes - 5 for characters + 1 for null terminator 2 printf ( "" % lu \n "", sizeof ( mystring ) ); // prints 6 - assuming each character is 1 byte 3 printf ( "" % s\n "", mystring ); since strings are arrays, there is no plus ( + ) operator for concatenating strings the c standard library contains string functions for copying, concatenating, parsing, tokenizing, etc. strings: https://cplusplus.com/reference/cstring/ links an external site. pointers a variable representing a location in memory stored as a number useful assign the address of an existing variable for example: 1 int value = 10; // declare a variable 2 int * value_ptr = & value; // declare a pointer the variable 3 printf ( "" % d % p\n "", value, value_ptr ); // print the value and the address address of a variable can be retrieved using the “ address of ” operator ( & ) value stored at a pointer can be retrieved using the “ dereference ” operator ( * )"
"""CNotes.pdf""","pointers a variable representing a location in memory stored as a number useful assign the address of an existing variable for example: 1 int value = 10; // declare a variable 2 int * value_ptr = & value; // declare a pointer the variable 3 printf ( "" % d % p\n "", value, value_ptr ); // print the value and the address address of a variable can be retrieved using the “ address of ” operator ( & ) value stored at a pointer can be retrieved using the “ dereference ” operator ( * ) for example: 1 int value = 10; // declare a variable 2 int * value_ptr = & value; // declare a pointer the variable 3 printf ( "" % d\n "", * value_ptr ); // print the value stored at the pointer literal values can also be assigned a pointer, but not as useful allows passing variables by address a function ( also called “ by pointer ” or “ by reference ” ) instead of passing a value as a function parameter, the pointer ( address ) can be passed the function can then directly store in the memory location using the “ dereference ” perator allows functions return values ( through return ) but also return values through parameters for example: 1 int do_operation ( int input, int * output ) { 2 if(intput < = 0 ) { 3 return -1; 4 } 5 * out = input * 10; // store result directly into memory of the caller 6 return 0; 7 } 8 9 int main ( int argc, char * argv [ ] ) { 10 // initialize variables 11 int input_value = 20; 12 int output_value = 0; 13 14 // call the operation and check for success or failure 15 int success_failure = do_operation ( input_value, & output_value ); 16 if(success_failure = = -1 ) { 17 printf ( "" failed \n "" ); 18 return -1; 19 } else { 20 printf ( "" result: % d\n "", output_value ); 21 } 22 return 0; 23 } const disallows storing a dereferenced pointer for example: 1 int my_function ( int input, const int * other_input ) { 2 if(intput < = 0 ) { 3 return -1; 4 } 5 * other_input = input * 10; // de -reference operation is not allowed 6 return 0; 7 } note: function local variables are declared on the stack the stack entry for a function ( including all variables ) is removed when a function returns do not return a pointer ( address of ) a local variable - later access the variable value ( dereference ) can cause unpredictable results for example: 1 int * my_function ( ) {"
"""CNotes.pdf""","for example: 1 int my_function ( int input, const int * other_input ) { 2 if(intput < = 0 ) { 3 return -1; 4 } 5 * other_input = input * 10; // de -reference operation is not allowed 6 return 0; 7 } note: function local variables are declared on the stack the stack entry for a function ( including all variables ) is removed when a function returns do not return a pointer ( address of ) a local variable - later access the variable value ( dereference ) can cause unpredictable results for example: 1 int * my_function ( ) { 2 int i = 100; // storage for i is removed when the function returns 3 return & i; 4 } 5 6 int main ( int argc, char * argv [ ] ) { 7 int * function_result_ptr = my_function ( ); 8 printf ( "" % d\n "", * function_result_ptr ); // dereferenced value is unpredictable 9 return 0; 10 } pointers and arrays arrays can be represented as pointers the value of the pointer is the address of the first ( index 0 ) element in the array arrays represented as pointers can be accessed using index brackets ( [ ] ) for example: 1 int * myarray = { 10, 20, 30, 40, 50 }; 2 printf ( "" % d\n "", myarray [ 2 ] ); note: arrays in c do not know length using sizeof for arrays declared as a pointer returns the size of a pointer not the size of the entire array for example: 1 int * myarray = { 10, 20, 30, 40, 50 }; 2 printf ( "" % lu \n "", sizeof ( myarray ) ); // prints the size of an integer pointer not 5 * sizeof(int ) arrays when passed functions are passed as a pointer the first element, even if parameter is defined with array braces ( [ ] ); strings, like other arrays, can be represented as a character pointer. for example: 1 char * mystring = "" hello ""; 2 printf ( "" % s\n "", mystring ); note: strings declared as a char * use data declared in read only memory not on the stack for example: 1 char mystring1 [ ] = "" hello ""; 2 char * mystring2 = "" hello ""; 3 printf ( "" % s % s\n "", mystring1, mystring2 ); // prints the same string 4 mystring1 [ 0 ] =' h'; // this is allowed - 5 // data for mystring1 is stored on the stack 6 // and is writable 7 mystring2"
"""CNotes.pdf""","for example: 1 char * mystring = "" hello ""; 2 printf ( "" % s\n "", mystring ); note: strings declared as a char * use data declared in read only memory not on the stack for example: 1 char mystring1 [ ] = "" hello ""; 2 char * mystring2 = "" hello ""; 3 printf ( "" % s % s\n "", mystring1, mystring2 ); // prints the same string 4 mystring1 [ 0 ] =' h'; // this is allowed - 5 // data for mystring1 is stored on the stack 6 // and is writable 7 mystring2 [ 0 ] =' h'; // this is not allowed - 8 // data for mystring2 is stored in read only 9 // memory and mystring2 contains the address 10 // of this memory pointers functions data pointers - e.g. pointers int, float, long, double, char * function pointers, also known as code pointers, represent the address of a function in the text section of memory address of a function can be retrieved using the “ address of ” operator for example: 1 int my_function ( int a, int b ) { 2 return a + b; 3 } 4 5 int main ( int argc, char * argv [ ] ) { 6 printf ( "" % p\n "", & my_function ) 7 return 0; 8 } can be used create an “ alias ” ( e.g. another name ) for a function requires a multi -part declaration the return type of the function the name of the pointer ( do n’t forget the star in the declaration ) the types for the function parameters once assigned, pointer function can be invoked in the same way as the original function for example: 1 int my_function ( int a, int b ) { 2 return a + b; 3 } 4 5 int main ( int argc, char * argv [ ] ) { 6 int ( * my_function_ptr ) ( int, int ) = & my_function; 7 printf ( "" % p\n "", my_function_ptr ); // print address of the function 8 printf ( "" % d\n "", my_function_ptr ( 10, 20 ) ); // invoke the function and print the result 9 return 0; 10 } can be useful for providing custom functions for operations for example - c standard library for quick sort qsort requires a function pointer for comparing array elements: https://cplusplus.com/reference/cstdlib/qsort/ links an external site. structures mechanism for grouping multiple variables into a custom type similar classes in java note: structures do not have methods or functions note:"
"""CNotes.pdf""","[ ] ) { 6 int ( * my_function_ptr ) ( int, int ) = & my_function; 7 printf ( "" % p\n "", my_function_ptr ); // print address of the function 8 printf ( "" % d\n "", my_function_ptr ( 10, 20 ) ); // invoke the function and print the result 9 return 0; 10 } can be useful for providing custom functions for operations for example - c standard library for quick sort qsort requires a function pointer for comparing array elements: https://cplusplus.com/reference/cstdlib/qsort/ links an external site. structures mechanism for grouping multiple variables into a custom type similar classes in java note: structures do not have methods or functions note: no private keywords in c, all data elements in a structure are public declared using the struct keyword requires a type name for example: 1 struct rectangle_t { 2 int base; 3 int height; 4 }; types within a structure ( struct ) can be any valid data type char, short, int, long, float, double pointer another structure using a structure “ instance ” requires declaration of structure type structure types must be declared before they are used access structure elements uses the dot (. ) operator for example: 1 struct rectangle_t { 2 int base; 3 int height; 4 }; 5 6 int main ( int argc, char * argv [ ] ) { 7 struct rectangle_t myrectangle; // note: struct keyword required in declaration 8 myrectangle.base = 10; 9 myrectangle.height = 20; 10 return 0; 11 } structures declared within scope know size ( e.g. sizeof results in expected value works for both structure instances by variable name and by type name note: sizeof by structure type requires the struct keyword for example: 1 struct rectangle_t { 2 int base; 3 int height; 4 }; 5 6 int main ( int argc, char * argv [ ] ) { 7 struct rectangle_t myrectangle; // note: struct keyword required in declaration 8 myrectangle.base = 10; 9 myrectangle.height = 20; 10 printf ( "" % lu \n "", sizeof ( myrectangle ) ); // prints sizeof(int ) + sizeof(int ) 11 printf ( "" % lu \n "", sizeof ( struct rectangle_t ) ) // also prints sizeof(int ) + sizeof(int ) 12 return 0; 13 } useful declare structures in header files, so they can be used in multiple source files allows organization of data into a single type - useful for data structures can be declared literally “ inline ” like arrays and strings for example: 1 int main ( int argc, char * argv"
"""CNotes.pdf""","= 20; 10 printf ( "" % lu \n "", sizeof ( myrectangle ) ); // prints sizeof(int ) + sizeof(int ) 11 printf ( "" % lu \n "", sizeof ( struct rectangle_t ) ) // also prints sizeof(int ) + sizeof(int ) 12 return 0; 13 } useful declare structures in header files, so they can be used in multiple source files allows organization of data into a single type - useful for data structures can be declared literally “ inline ” like arrays and strings for example: 1 int main ( int argc, char * argv [ ] ) { 2 struct { // note inline structures do not require a type name 3 int amount; 4 double other_amount; 5 } my_structure; // this is the variable name not the type name 6 my_structure.amount = 10; 7 my_sructure.other_amount = 10.123; 8 return 0; 9 } structures can be declared and assigned values at the same time, similar arrays and strings element values must be set in the order in they are declared for example: 1 struct rectangle_t { 2 int base; 3 int height; 4 }; 5 6 int main ( int argc, char * argv [ ] ) { 7 struct rectangle_t myrectangle = { 10, 20 }; 8 printf ( "" % d % d\n "", myrectangle.base, myrectangle.height ); 9 return 0; 10 } declaration and assignment of structure values works for mixed types for example: 1 struct rectangle_t { 2 int base; 3 int height; 4 char name [ 10 ]; 5 }; 6 7 int main ( int argc, char * argv [ ] ) { 8 struct rectangle_t myrectangle = { 10, 20, "" john "" }; 9 printf ( "" % d % d % s\n "", myrectangle.base, myrectangle.height, myrectangle.name ); 10 return 0; 11 } structures can be passed as parameters functions structure type must be declared before they are used as parameters compiler will copy all structure variables when passed a function structures can be declared inside a function and used as a return type pointers structure instances can be set using “ address of ” operator pointers structure instances can be passed as a parameter a function access elements in a pointer a structure can be made using the “ dereference perator ” ( * ) followed by a dot (. ) or with the “ pointer ” operator ( - > ) for example: 1 struct rectangle_t { 2 int base; 3 int height; 4 }; 5 6 int main ( int argc, char * argv"
"""CNotes.pdf""","d % d % s\n "", myrectangle.base, myrectangle.height, myrectangle.name ); 10 return 0; 11 } structures can be passed as parameters functions structure type must be declared before they are used as parameters compiler will copy all structure variables when passed a function structures can be declared inside a function and used as a return type pointers structure instances can be set using “ address of ” operator pointers structure instances can be passed as a parameter a function access elements in a pointer a structure can be made using the “ dereference perator ” ( * ) followed by a dot (. ) or with the “ pointer ” operator ( - > ) for example: 1 struct rectangle_t { 2 int base; 3 int height; 4 }; 5 6 int main ( int argc, char * argv [ ] ) { 7 struct rectangle_t myrectangle = { 10, 20, "" john "" }; 8 struct rectangle_t * myrectangle_ptr = & myrectangle; 9 ( * myrectangle_ptr ).height = 200; // dereference first 10 myrectangle_ptr ->base = 10; // using the pointer operator 11 return 0; 12 } note: the “ pointer ” operator ( - > ) is only used on pointers unions similar structures ( struct ) but storage for variables is shared declared using the union keyword instead of the struct keyword other syntax for declaration is the same as structures for example: 1 union my_data_t { 2 int value1; 3 int value2; 4 }; note: storage is shared changing one value, changes the other 1 union my_data_t { 2 int value1; 3 int value2; 4 }; 5 6 int main ( int argc, char * argv [ ] ) { 7 union my_data_t data; 8 data.value1 = 10; 9 data.value2 = 20; // changes the value1 also 10 printf ( "" % d % d\n "", data.value1, data.value2 ); // prints the same value 11 return 0; 12 } mixing data types is allowed with unions semantics for unions still applies changing one value may change one or more other values for example: 1 union my_data_t { 2 int value; 3 char string [ 4 ]; 4 }; 5 6 int main ( int argc, char * argv"
